"","MEs.TCx_M01","MEs.TCx_M02","MEs.TCx_M03","MEs.TCx_M04","MEs.TCx_M05","MEs.TCx_M06","MEs.TCx_M07","MEs.TCx_M08","MEs.TCx_M09","MEs.TCx_M10","MEs.TCx_M11","MEs.TCx_M12","MEs.TCx_M13","MEs.TCx_M14","MEs.TCx_M15","MEs.TCx_M16","MEs.TCx_M17","MEs.TCx_M18","MEs.TCx_M19","MEs.TCx_M20"
"496100279",0.0391836278711609,0.0343434919140916,0.0212581635147619,-0.00826411452201928,-0.0719084744343465,0.159457861543271,0.0531017423836478,0.023666462387309,0.0828964903213774,0.0174038034765187,0.00790445087817775,-0.0686088750813451,-0.00580264278965526,-0.0293954534428673,-0.0327289088289599,-0.0132151908050763,-0.0673257585059925,0.117262673948447,0.0686747218707024,0.0896865454446136
"496100285",0.0659224372076311,0.0386354740016291,0.0506156183379558,0.0716751528549634,-0.103683530550634,0.0627702472028964,0.0400444386239184,0.0508057707150452,0.0797627594128495,-0.0481873438059819,0.0319881234052872,-0.0550314517222118,-0.0424656898980599,-0.0292145375940314,0.0437275258361921,-0.087149453511062,-0.0876592545791163,-0.0347366960763501,0.0388172438452336,-0.024488069735178
"496100287",-0.00692939721082886,-0.0256168546404816,-0.0744076089337831,-0.108329147761906,0.0409279359956538,0.193293941076577,0.0520712281092739,-0.0390222533381989,0.0756091762591862,0.109104161355743,-0.0215529536651184,-0.0468370518524828,0.00329844635235688,-0.0239240019944773,-0.185946218708492,0.0352290542157296,-0.102892599849115,0.079337168665751,0.0534123536182797,0.0860542520097715
"496100291",-0.104217620853971,-0.0895431394765347,-0.136258746732692,-0.101940978274618,0.0811451397361087,0.147423887661502,0.0619809812549429,-0.0809581136038497,0.0796731334009394,-0.0441260286778436,-0.00194836910902712,0.432437560244928,0.0113363991114949,-0.0492027624264047,0.0232619682525646,0.110849905019063,0.143072495450138,0.0383310920447123,0.0565225931513991,0.0161173495028446
"496100310",0.0230837322617595,0.00381441220278364,-0.0233648849737058,0.0248528533077225,0.0795234998161372,0.101938756059914,0.0519786985970421,-0.00715245077739172,-0.129066857630786,0.0476732593726199,-0.0336265075593971,-0.0369446940461203,-0.0381417685798465,-0.0422781271209128,-0.00975695441025849,-0.0355765949487198,-0.0436657388111687,-0.0395173815054876,-0.032761493626799,-0.01900846241481
"496100295",-0.0817819502225649,-0.0262610905925995,-0.126407036024869,-0.174160683381349,0.0166928646356144,0.12070106678337,0.0470822855902649,-0.118119822826827,0.0815440268350948,0.0210369653662573,-0.118520368957708,0.0105897806181156,0.0530324634117406,-0.0750657775318332,-0.0417450812613408,0.0967671351784062,0.0382837064727236,-0.00390370102956579,-0.0477142839055785,0.00294289290989804
"496100301",0.0365992647107152,0.0539523542660742,-0.0367224696786385,-0.0292168172230569,-0.0864472619847497,0.123905448862217,0.094005951891209,-0.0485323506053181,0.0929612535235988,-0.0649637427650447,-0.00650220538014168,0.123785933471484,0.0193418090295578,0.0498050752682462,0.00307665196624449,-0.0151774795854717,-0.0178976288991078,-0.114977840062249,-0.119577293786447,-0.0269065667942708
"496100331",0.0841452799761491,-0.0202222350181588,0.100941204248036,-0.00273511386056007,0.0216901282216754,-0.27007864351779,0.0302092329069379,0.111693740847957,0.0835344017695665,0.147118372959657,-0.0218493366509929,-0.0725459964517543,-0.109866479949406,0.0589802916852124,-0.161837995369087,-0.0432330224731507,-0.0427763669586354,0.0387419453529522,-0.171453625702753,0.0811338629651804
"496100340",-0.221485167352525,-0.396511719414919,-0.0431762422170243,-0.0278130583275347,0.0469172295422169,0.0339940886290461,0.0756380529481509,0.00370992844167023,0.0797046070441159,0.123369412211476,-0.0237693564505933,0.00141501122551121,-0.149234807781578,-0.0151485914791389,-0.0944945170738681,0.0154883725447582,0.18853800075393,0.050052142008811,0.108608461599571,0.13585666570733
"496100343",0.0132249522821474,0.0672584630877758,0.00684756489627655,-0.040296938106704,0.0917138221782724,-0.167657245751348,0.0514266496009418,-0.0278509066671493,-0.122201551817217,-0.0403796758462628,0.0252314884149674,-0.0222117856689777,0.0213830737042424,0.258913427581562,0.0586972033434505,-0.0232395077702534,0.0374910446589681,0.0917739915145089,-0.0422510898734764,-0.128731142410287
"496100328",-0.00354098297580031,-0.00200088143151925,0.0148392878729789,0.0460146476141264,0.0484176010002246,0.0083084383155628,0.0715626646091815,0.0239364525813014,0.0155362997365254,0.0176269729410593,-0.0133437446499335,0.00695967733949281,-0.0654485854824236,0.404900851240467,0.0740698083376472,-0.0225712748274221,0.0815835980189379,0.156683789968774,0.0435314050468176,-0.0604320850096508
"496100336",0.0469136127193773,-0.191942285076464,-0.0614171088731071,0.0374507303711389,0.0722174048450967,-0.0718559079296896,0.0856690451712307,0.114309318147375,0.0938599147690128,-0.0241855599178863,0.0406736254826168,-0.0457380997238502,-0.300950105558603,0.0156130256055132,0.134365495542991,-0.165438507819215,0.0421487355130129,-0.01881857148683,0.0114550504681613,0.103296476791625
"496100326",0.0647596112238832,0.0293410312294741,0.000310321349817049,-0.0472494671286028,0.0609757140909401,-0.0879737744364048,0.0399813702141431,0.0172517342010495,0.0845526280718861,0.0106315947547099,-0.0563603977859631,-0.0866268213753504,0.0113625388949363,0.0765751425210466,-0.0350242387925904,-0.0297136118143158,-0.0432148470720801,-0.161987427169561,-0.0207281517863494,-0.152792099471876
"496100341",-0.0936317026434892,-0.137604823976727,-0.198120848997618,-0.108293551807014,-0.0182984643619361,-0.211217003093403,0.0748192454980817,-0.0588205482860637,0.0822126131064385,-0.0913443955349266,0.0923461063586958,0.0150894916625619,-0.0962823341543429,-0.0811288808214052,0.147399173304083,0.0382106952518247,0.197827534964475,0.174471898956938,0.125149006355251,0.279611582215642
"496100316",0.15455796477752,-0.130463552027971,0.21003126079713,0.303188389800116,-0.00498287733313574,-0.14938699990464,0.00873002894461291,0.208719429975742,0.0695823758128481,-0.0605184908202244,0.0250092209539909,-0.0593026356320237,-0.36099531580119,0.16022506429199,0.0176475193476513,-0.282842393537724,-0.162877353416774,-0.193805144915182,-0.151142078819061,-0.100396574640628
"496100348",0.0766317715755416,-0.00880053156790804,0.0952943209685554,0.0127077817516369,-0.0581915695550161,-0.0836336604472443,-0.0031055772712301,0.115741632400432,0.0802604288015696,0.116840618021526,0.669134762563742,-0.0982017756624107,-0.0653815151476454,-0.0807402272419212,-0.178972174066656,-0.0264674310705133,-0.0670791506925767,0.0604816019055332,-0.128138467513683,-0.0214236346299531
"496100363",-0.00421649253146696,-0.085866726898926,-0.0529169005761434,-0.0948236771810691,-0.0722718479575147,-0.131925447643463,0.0478215921784696,0.0428621873570462,-0.128993878699931,0.0953820948862225,-0.0444328093079753,0.153505575800937,-0.0559779279483783,-0.0534345535853247,0.00100495631705769,-0.049853450494727,-0.0166916895151561,-0.0347318512209746,-0.14766701291857,0.0137285703360113
